"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-3"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 2015年（平成27年）の人口（組替），2015年（平成27年）の世帯数（組替），5年間の人口増減数，5年間の人口増減率，5年間の世帯増減数，5年間の世帯増減率，人口性比，面積（参考）及び人口密度－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","/表章事項 コード","2020_03","2020_15","2020_34","2020_35","2020_36","2020_37","2020_46","2020_47","2020_48"
"時間軸（年次） コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む）","/表章事項","2015年（平成27年）の人口（組替）【人】","2015年（平成27年）の世帯数（組替）【世帯】","5年間の人口増減数【人】","5年間の人口増減率【％】","5年間の世帯増減数【世帯】","5年間の世帯増減率【％】","人口性比","面積（参考）【km2】","人口密度【1km2当たり】"
"2020000000","2020年","37364","直島町","","3,139","1,519","-36","-1.14686","44","2.89664","112.97186","14.22","218.2"
"2020000000","2020年","37386","宇多津町","","18,952","8,465","-253","-1.33495","269","3.17779","96.43870","8.10","2,308.5"
"2020000000","2020年","37387","綾川町","","23,610","8,548","-917","-3.88395","310","3.62658","94.05678","109.75","206.8"
"2020000000","2020年","37381","（旧：綾上町）","","5,470","1,973","-576","-10.53016","-50","-2.53421","96.46728","71.20","68.7"
"2020000000","2020年","37382","（旧：綾南町）","","18,140","6,575","-341","-1.87982","360","5.47529","93.40432","38.47","462.7"
"2020000000","2020年","37403","琴平町","","9,186","3,708","-718","-7.81624","-33","-0.88997","86.93157","8.47","999.8"
"2020000000","2020年","37404","多度津町","","23,366","9,551","-921","-3.94162","219","2.29295","102.71857","24.39","920.3"
"2020000000","2020年","37406","まんのう町","","18,377","6,445","-976","-5.31099","86","1.33437","92.17007","194.45","89.5"
"2020000000","2020年","37401","（旧：琴南町）","","2,216","895","-311","-14.03430","-68","-7.59777","98.64442","82.79","23.0"
"2020000000","2020年","37402","（旧：満濃町）","","12,176","4,170","-358","-2.94021","188","4.50839","92.44423","53.24","222.0"
"2020000000","2020年","37405","（旧：仲南町）","","3,985","1,380","-307","-7.70389","-34","-2.46377","88.13299","58.14","63.3"
"2020000000","2020年","38000","愛媛県","","1,385,262","591,972","-50,421","-3.63982","9,430","1.59298","90.20817","5,676.19","235.2"
"2020000000","2020年","38201","松山市","","514,865","230,509","-3,673","-0.71339","10,725","4.65275","88.70137","429.35","1,190.6"
"2020000000","2020年","3820B","（旧：松山市）","","484,317","218,244","-1,605","-0.33139","10,847","4.97013","88.76067","289.36","1,668.2"
"2020000000","2020年","38211","（旧：北条市）","","26,667","10,367","-1,395","-5.23118","128","1.23469","87.77027","102.13","247.4"
"2020000000","2020年","38363","（旧：中島町）","","3,881","1,898","-673","-17.34089","-250","-13.17176","87.16453","37.28","86.1"
"2020000000","2020年","38202","今治市","","158,114","67,105","-6,442","-4.07428","1,223","1.82252","89.89145","419.21","361.8"
"2020000000","2020年","3820C","（旧：今治市）","","107,443","45,741","-2,117","-1.97035","1,727","3.77561","87.84063","74.84","1,407.3"
"2020000000","2020年","38341","（旧：朝倉村）","","4,253","1,614","-283","-6.65413","-1","-0.06196","85.94848","31.27","127.0"
"2020000000","2020年","38342","（旧：玉川町）","","4,919","1,914","-355","-7.21691","7","0.36573","88.82913","103.90","43.9"
"2020000000","2020年","38343","（旧：波方町）","","8,717","3,403","-571","-6.55042","-51","-1.49868","95.34772","15.67","519.8"
"2020000000","2020年","38344","（旧：大西町）","","8,426","3,447","-342","-4.05887","210","6.09225","109.05094","18.81","429.8"
"2020000000","2020年","38345","（旧：菊間町）","","5,852","2,360","-679","-11.60287","-115","-4.87288","88.65791","36.97","139.9"
"2020000000","2020年","38346","（旧：吉海町）","","3,540","1,654","-368","-10.39548","-54","-3.26481","97.75561","27.72","114.4"
"2020000000","2020年","38347","（旧：宮窪町）","","2,527","1,058","-318","-12.58409","-100","-9.45180","93.60210","18.38","120.2"
"2020000000","2020年","38348","（旧：伯方町）","","6,359","2,883","-644","-10.12738","-150","-5.20291","99.19833","20.85","274.1"
"2020000000","2020年","38353","（旧：上浦町）","","2,734","1,340","-346","-12.65545","-91","-6.79104","88.77470","22.31","107.0"
"2020000000","2020年","38354","（旧：大三島町）","","2,941","1,459","-366","-12.44475","-137","-9.38999","84.06004","43.32","59.4"
"2020000000","2020年","38355","（旧：関前村）","","403","232","-53","-13.15136","-22","-9.48276","82.29167","5.52","63.4"
"2020000000","2020年","38203","宇和島市","","77,465","32,732","-6,656","-8.59227","-1,280","-3.91055","88.34184","468.19","151.2"
"2020000000","2020年","3820D","（旧：宇和島市）","","51,178","22,787","-3,735","-7.29806","-673","-2.95344","88.31071","143.30","331.1"
"2020000000","2020年","38481","（旧：吉田町）","","10,064","3,663","-1,292","-12.83784","-308","-8.40841","89.01099","48.14","182.2"
"2020000000","2020年","38482","（旧：三間町）","","5,770","2,227","-423","-7.33102","-47","-2.11046","89.07355","56.91","94.0"
"2020000000","2020年","38486","（旧：津島町）","","10,453","4,055","-1,206","-11.53736","-252","-6.21455","87.45185","221.00","41.8"
"2020000000","2020年","38204","八幡浜市","","34,951","14,995","-2,964","-8.48044","-582","-3.88129","87.98190","132.65","241.1"
"2020000000","2020年","3820E","（旧：八幡浜市）","","25,305","10,940","-2,378","-9.39735","-501","-4.57952","86.71716","95.91","239.0"
